Using device: cuda
pos_weight: 5.424335956573486
Epoch 01 | Loss=0.68969 | AUROC=0.91363 | AUPRC=0.81158 | F1=0.71755
Epoch 02 | Loss=0.58443 | AUROC=0.92387 | AUPRC=0.83452 | F1=0.66284
Epoch 03 | Loss=0.54970 | AUROC=0.92860 | AUPRC=0.83982 | F1=0.75343
Epoch 04 | Loss=0.52488 | AUROC=0.93192 | AUPRC=0.84995 | F1=0.70255
Epoch 05 | Loss=0.50822 | AUROC=0.94091 | AUPRC=0.86538 | F1=0.76114
Epoch 06 | Loss=0.49123 | AUROC=0.94616 | AUPRC=0.87239 | F1=0.79340
Epoch 07 | Loss=0.47861 | AUROC=0.94111 | AUPRC=0.86179 | F1=0.78468
Epoch 08 | Loss=0.46201 | AUROC=0.94348 | AUPRC=0.86660 | F1=0.78074
Epoch 09 | Loss=0.45216 | AUROC=0.94501 | AUPRC=0.86775 | F1=0.76394
Epoch 10 | Loss=0.44423 | AUROC=0.94953 | AUPRC=0.87541 | F1=0.79111
Epoch 11 | Loss=0.43140 | AUROC=0.95179 | AUPRC=0.88416 | F1=0.80920
Epoch 12 | Loss=0.42622 | AUROC=0.95782 | AUPRC=0.89713 | F1=0.78085
Epoch 13 | Loss=0.41556 | AUROC=0.95439 | AUPRC=0.88703 | F1=0.80833
Epoch 14 | Loss=0.41020 | AUROC=0.95866 | AUPRC=0.90068 | F1=0.80991
Epoch 15 | Loss=0.39951 | AUROC=0.95775 | AUPRC=0.89409 | F1=0.82522
Epoch 16 | Loss=0.39511 | AUROC=0.94653 | AUPRC=0.87143 | F1=0.78052
Epoch 17 | Loss=0.38681 | AUROC=0.96339 | AUPRC=0.90648 | F1=0.83684
Epoch 18 | Loss=0.38534 | AUROC=0.96529 | AUPRC=0.91350 | F1=0.82531
Epoch 19 | Loss=0.37499 | AUROC=0.96300 | AUPRC=0.90746 | F1=0.78817
Epoch 20 | Loss=0.37419 | AUROC=0.95854 | AUPRC=0.89657 | F1=0.82360
Epoch 21 | Loss=0.36731 | AUROC=0.96132 | AUPRC=0.90379 | F1=0.82436
Epoch 22 | Loss=0.36120 | AUROC=0.96263 | AUPRC=0.90968 | F1=0.84069
Epoch 23 | Loss=0.35654 | AUROC=0.97008 | AUPRC=0.92208 | F1=0.79416
Epoch 24 | Loss=0.34971 | AUROC=0.96624 | AUPRC=0.91627 | F1=0.82432
Epoch 25 | Loss=0.34507 | AUROC=0.95989 | AUPRC=0.90247 | F1=0.83695
Epoch 26 | Loss=0.33879 | AUROC=0.96354 | AUPRC=0.91210 | F1=0.81023
Epoch 27 | Loss=0.33639 | AUROC=0.96904 | AUPRC=0.92269 | F1=0.82084
Epoch 28 | Loss=0.33162 | AUROC=0.96843 | AUPRC=0.92036 | F1=0.83567
Epoch 29 | Loss=0.32683 | AUROC=0.96408 | AUPRC=0.91531 | F1=0.84466
Epoch 30 | Loss=0.32135 | AUROC=0.96498 | AUPRC=0.91171 | F1=0.83786
Epoch 31 | Loss=0.31518 | AUROC=0.97354 | AUPRC=0.93053 | F1=0.84869
Epoch 32 | Loss=0.31326 | AUROC=0.96384 | AUPRC=0.90907 | F1=0.82215
Epoch 33 | Loss=0.30817 | AUROC=0.97011 | AUPRC=0.92457 | F1=0.86557
Epoch 34 | Loss=0.30820 | AUROC=0.97260 | AUPRC=0.92793 | F1=0.86501
Epoch 35 | Loss=0.30306 | AUROC=0.97291 | AUPRC=0.93084 | F1=0.84517
Epoch 36 | Loss=0.29848 | AUROC=0.97111 | AUPRC=0.92705 | F1=0.84494
Epoch 37 | Loss=0.29294 | AUROC=0.96515 | AUPRC=0.91515 | F1=0.84102
Epoch 38 | Loss=0.28950 | AUROC=0.97026 | AUPRC=0.92485 | F1=0.83939
Epoch 39 | Loss=0.28434 | AUROC=0.97459 | AUPRC=0.93495 | F1=0.84975
Epoch 40 | Loss=0.27947 | AUROC=0.97599 | AUPRC=0.93800 | F1=0.82491
Epoch 41 | Loss=0.27775 | AUROC=0.97754 | AUPRC=0.94066 | F1=0.85654
Epoch 42 | Loss=0.27438 | AUROC=0.96598 | AUPRC=0.91354 | F1=0.84594
Epoch 43 | Loss=0.26953 | AUROC=0.96867 | AUPRC=0.92267 | F1=0.84349
Epoch 44 | Loss=0.26435 | AUROC=0.97757 | AUPRC=0.94121 | F1=0.84231
Epoch 45 | Loss=0.26415 | AUROC=0.97573 | AUPRC=0.93720 | F1=0.86072
Epoch 46 | Loss=0.26086 | AUROC=0.97476 | AUPRC=0.93401 | F1=0.86943
Epoch 47 | Loss=0.25508 | AUROC=0.97433 | AUPRC=0.93299 | F1=0.87366
Epoch 48 | Loss=0.25218 | AUROC=0.97863 | AUPRC=0.94409 | F1=0.86750
Epoch 49 | Loss=0.24858 | AUROC=0.97740 | AUPRC=0.93982 | F1=0.84021
Epoch 50 | Loss=0.25188 | AUROC=0.97785 | AUPRC=0.94202 | F1=0.86151

FINAL RESMLP RESULT
AUROC: 0.9778524499955682
AUPRC: 0.9420210342785529
F1: 0.861506967955279
Saved ResMLP model, predictions, and metrics.
