task,model,feature_set,AUROC,AUPRC,F1
LUAD driver prediction,RandomForest,signature,0.7642075212324237,0.5013696642445998,0.5859602649006623
LUAD driver prediction,LightGBM,signature,0.7644506164808,0.5015166756394732,0.5859602649006623
LUAD driver prediction,XGBoost,signature,0.7644518995926617,0.5015169086925334,0.5859602649006623
LUAD driver prediction,RandomForest,functional,0.987812726556836,0.9632338195409802,0.8858700354763347
LUAD driver prediction,LightGBM,functional,0.985036216897608,0.9609287516969024,0.901818181818182
LUAD driver prediction,XGBoost,functional,0.9841859848390154,0.9585943318973292,0.9010061668289516
LUAD driver prediction,RandomForest,all,0.9863884629210028,0.959242219620426,0.8811493252067915
LUAD driver prediction,LightGBM,all,0.98383694053482,0.9581000798837505,0.8983133311709373
LUAD driver prediction,XGBoost,all,0.9833290602394033,0.9560973660565928,0.8959298074579576
LUAD driver prediction,MLP,functional+signature,0.9699547946907388,0.9231750820305562,0.8433831805756552
LUAD driver prediction,ResMLP,functional+signature,0.9778524499955682,0.9420210342785528,0.861506967955279
SeqQC confidence prediction,RandomForest,QC,0.6091770215462611,0.6053688174671059,0.5094423040485062
SeqQC confidence prediction,LightGBM,QC,0.6262421863117871,0.6177071557050543,0.5003017906243713
SeqQC confidence prediction,XGBoost,QC,0.6288713307984791,0.6180698299491598,0.4950535861500412
LUAD driver prediction,MVF,functional,0.9725,0.9294,0.8145
LUAD driver prediction,MVF,signature,0.7626,0.5008,0.5881
LUAD driver prediction,MVF,functional+signature,0.9685,0.9225,0.8037
SeqQC confidence prediction,QC-MLP,QC,0.6348,0.6239,0.3359
COAD/GBM cross-cancer validation,RandomForest,train GBM test COAD,0.5822,0.1878,0.1274
COAD/GBM cross-cancer validation,ResMLP,train GBM test COAD,0.5941,0.2661,0.2939
COAD/GBM cross-cancer validation,RandomForest,train COAD test GBM,0.6344,0.2485,0.2454
COAD/GBM cross-cancer validation,ResMLP,train COAD test GBM,0.6824,0.377,0.3441
